Concept Level 1,CCSS Standard,Question UID,Answers,Prompt
Coordinating Conjunctions,"1.1g. Conjunctions: And, But, Or, So",Jzw0qjLNEeZAERlRksI,"[{""text""=>""People can surf{ and sunbathe} at the beach.""}, {""text""=>""People can surf at the beach{ and} people can sunbathe at the beach.""}, {""text""=>""People can surf at the beach{, and} people can sunbathe at the beach.""}]",People can surf at the beach. People can sunbathe at the beach.
Coordinating Conjunctions,"1.1g. Conjunctions: And, But, Or, So",Jzw0qjLNEeZAERlRksK,"[{""text""=>""Would you like soup{, or} do you prefer salad?""}, {""text""=>""Would you like soup{ or} do you prefer salad?""}]",Would you like soup? Do you prefer salad?
Coordinating Conjunctions,"1.1g. Conjunctions: And, But, Or, So",Jzw0qjLNEeZAERlRksL,"[{""text""=>""I can go to Tom's party{ or} I can study for my test.""}, {""text""=>""I can go to Tom's party{, or} I can study for my test.""}, {""text""=>""I can go to Tom's party{, or} study for my test.""}, {""text""=>""I can go to Tom's party{ or} study for my test.""}]",I can go to Tom's party. I can study for my test.
Coordinating Conjunctions,"1.1g. Conjunctions: And, But, Or, So",Jzw0qjLNEeZAERlRksM,"[{""text""=>""It might rain tomorrow{, or} it might be sunny.""}, {""text""=>""It might rain tomorrow{ or} it might be sunny.""}]",It might rain tomorrow. It might be sunny.
Coordinating Conjunctions,"1.1g. Conjunctions: And, But, Or, So",Jzw0qjLNEeZAERlRksN,"[{""text""=>""We can swim in the sea{, or} we can hike in the mountains.""}, {""text""=>""We can swim in the sea{ or} we can hike in the mountains.""}, {""text""=>""We can swim in the sea{ or} hike the mountains.""}, {""text""=>""We can swim in the sea{, or} hike the mountains.""}]",We can swim in the sea.  We can hike in the mountains.
Coordinating Conjunctions,"1.1g. Conjunctions: And, But, Or, So",Jzw0qjLNEeZAERlRksO,"[{""text""=>""You can lead the junior team{ or} join the varsity team.""}, {""text""=>""You can lead the junior team{, or} join the varsity team.""}, {""text""=>""You can lead the junior team{, or} you can join the varsity team.""}, {""text""=>""You can lead the junior team{ or} you can join the varsity team.""}]",You can lead the junior team. You can join the varsity team.
Coordinating Conjunctions,"1.1g. Conjunctions: And, But, Or, So",Jzw0qjLNEeZAERlRksP,"[{""text""=>""We can offer you a discount{, or} we can give you store credit.""}, {""text""=>""We can offer you a discount{ or} we can give you store credit.""}, {""text""=>""We can offer you a discount{ or} give you store credit.""}, {""text""=>""We can offer you a discount{, or} give you store credit.""}]",We can offer you a discount. We can give you store credit.
Coordinating Conjunctions,"1.1g. Conjunctions: And, But, Or, So",Jzw0qjLNEeZAERlRksQ,"[{""text""=>""We can take the train now{ or} wait an hour.""}, {""text""=>""We can take the train now{, or} wait an hour.""}, {""text""=>""We can take the train now{ or} we can wait an hour.""}, {""text""=>""We can take the train now{, or} we can wait an hour.""}]",We can take the train now. We can wait an hour.
Coordinating Conjunctions,"1.1g. Conjunctions: And, But, Or, So",Jzw0qjLNEeZAERlRksR,"[{""text""=>""You can leave now{, or} you can work over""}, {""text""=>""time.""}, {""text""=>""You can leave now{ or} work over""}, {""text""=>""time.""}]",You can leave now. You can work over-time.
Coordinating Conjunctions,"1.1g. Conjunctions: And, But, Or, So",Jzw0qjLNEeZAERlRksS,"[{""text""=>""I can do inventory{, or} I can work the register.""}, {""text""=>""I can do inventory{ or} work the register.""}, {""text""=>""I can do inventory{ or} I can work the register.""}]",I can do inventory. I can work the register.
Coordinating Conjunctions,"1.1g. Conjunctions: And, But, Or, So",Jzw0qjLNEeZAERlRksU,"[{""text""=>""I want to eat sushi{, but} the restaurants are closed.""}]",I want to eat sushi.  The restaurants are closed.
Coordinating Conjunctions,"1.1g. Conjunctions: And, But, Or, So",Jzw0qjLNEeZAERlRksV,"[{""text""=>""I can help you{, but} I must leave in an hour.""}]",I can help you. I must leave in an hour.
Coordinating Conjunctions,"1.1g. Conjunctions: And, But, Or, So",Jzw0qjLNEeZAERlRksW,"[{""text""=>""I will drop off the kids{, but} I have to make a call first.""}]",I will drop off the kids.  I have to make a call first.
Coordinating Conjunctions,"1.1g. Conjunctions: And, But, Or, So",Jzw0qjLNEeZAERlRksX,"[{""text""=>""I want to go swimming{, but} the water is too cold.""}]",I want to go swimming. The water is too cold.
Coordinating Conjunctions,"1.1g. Conjunctions: And, But, Or, So",Jzw0qjLNEeZAERlRksY,"[{""text""=>""I am so tired{, but} I can't sleep yet.""}]",I am so tired.  I can't sleep yet.
Coordinating Conjunctions,"1.1g. Conjunctions: And, But, Or, So",Jzw0qjLNEeZAERlRksZ,"[{""text""=>""The desert is an arid place{, but} creatures still live there.""}]",The desert is an arid place. Creatures still live there.
Coordinating Conjunctions,"1.1g. Conjunctions: And, But, Or, So",Jzw0qjLNEeZAERlRks_,"[{""text""=>""Andy wore his new suit{, but} his hair was unkempt.""}]",Andy wore his new suit. His hair was unkempt.
Coordinating Conjunctions,"1.1g. Conjunctions: And, But, Or, So",Jzw0qjLNEeZAERlRksb,"[{""text""=>""The slope was steep{, so} we had to find another route.""}]",The slope was steep. We had to find another route.
Coordinating Conjunctions,"1.1g. Conjunctions: And, But, Or, So",Jzw0qjLNEeZAERlRksc,"[{""text""=>""Jasmine was too excited to sleep{, so} she read her book.""}]",Jasmine was too excited to sleep. She read her book.
Coordinating Conjunctions,"1.1g. Conjunctions: And, But, Or, So",Jzw0qjLNEeZAERlRksd,"[{""text""=>""There is no parking{, so} I will take the bus.""}, {""text""=>""There is no parking{ so} I will take the bus.""}]",There is no parking. I will take the bus.
Coordinating Conjunctions,"1.1g. Conjunctions: And, But, Or, So",Jzw0qjLNEeZAERlRkse,"[{""text""=>""The sun was too bright{, so} I put on my sunglasses.""}, {""text""=>""The sun was too bright{ so} I put on my sunglasses.""}]",The sun was too bright. I put on my sunglasses.
Coordinating Conjunctions,"1.1g. Conjunctions: And, But, Or, So",Jzw0qjLNEeZAERlRksf,"[{""text""=>""Not all of history is known{, so} it is best to check your facts.""}, {""text""=>""Not all of history is known{ so} it is best to check your facts.""}]",Not all of history is known. It is best to check your facts.
Coordinating Conjunctions,"1.1g. Conjunctions: And, But, Or, So",Jzw0qjLNEeZAERlRksg,"[{""text""=>""I am too busy{, so} you will have to answer the call.""}, {""text""=>""I am too busy{ so} you will have to answer the call.""}]",I am too busy. You will have to answer the call.
Coordinating Conjunctions,"1.1g. Conjunctions: And, But, Or, So",Jzw0qjLNEeZAERlRksh,"[{""text""=>""I think it will rain{, so} I will bring my umbrella.""}, {""text""=>""I think it will rain{ so} I will bring my umbrella.""}]",I think it will rain. I will bring my umbrella.
Coordinating Conjunctions,"1.1g. Conjunctions: And, But, Or, So",Jzw0qjLNEeZAERlRksi,"[{""text""=>""We skipped a step in the {recipe, so the} cake might take awhile.""}]",We skipped a step in the recipe. The cake might take awhile.
Coordinating Conjunctions,"1.1g. Conjunctions: And, But, Or, So",Jzw0qjLNEeZAERlRksj,"[{""text""=>""Scarlet was worried about Sean{, so} she decided to go see him.""}]",Scarlet was worried about Sean. She decided to go see him.
Coordinating Conjunctions,"1.1g. Conjunctions: And, But, Or, So",Jzw0qjLNEeZAERlRksk,"[{""text""=>""The wave started to swell{, so} the surfer got ready.""}]",The wave started to swell. The surfer got ready.
Coordinating Conjunctions,"1.1g. Conjunctions: And, But, Or, So",Jzw0qjLNEeZAERlRksl,"[{""text""=>""Alex scored three goals{, so} he was the game's MVP.""}]",Alex scored three goals. He was the game's MVP.
Coordinating Conjunctions,"1.1g. Conjunctions: And, But, Or, So",Jzw0qjLNEeZAERlRksm,"[{""text""=>""It's a great day to ski {because the} snow is like powder.""}]",It's a great day to ski. The snow is like powder.
Correlative Conjunctions,5.1e. Correlative Conjunctions,Jzw0qjLNEeZAERlRksy,"[{""text""=>""I want to study {both} French and Spanish.""}]",I want to study French and Spanish.
Correlative Conjunctions,5.1e. Correlative Conjunctions,Jzw0qjLNEeZAERlRksz,"[{""text""=>""I want {both} ketchup and mustard on my hot dog.""}]",I want ketchup and mustard on my hot dog.
Correlative Conjunctions,5.1e. Correlative Conjunctions,Jzw0qjLNEeZAERlRkt-,"[{""text""=>""Our school teaches {both} robotics and choir.""}]",Our school teaches robotics and choir.
Correlative Conjunctions,5.1e. Correlative Conjunctions,Jzw0qjLNEeZAERlRkt0,"[{""text""=>""I would like {both} ketchup and mustard.""}]",I would like ketchup and mustard.
Correlative Conjunctions,5.1e. Correlative Conjunctions,Jzw0qjLNEeZAERlRkt1,"[{""text""=>""I play {both} basketball and baseball.""}]",I play basketball and baseball.
Correlative Conjunctions,5.1e. Correlative Conjunctions,Jzw0qjLNEeZAERlRkt3,"[{""text""=>""You can have {either} a cat or a dog.""}, {""text""=>""You can have {either} a cat, or a dog.""}]",You can have a cat or a dog.
Correlative Conjunctions,5.1e. Correlative Conjunctions,Jzw0qjLNEeZAERlRkt4,"[{""text""=>""You can have {either} pasta or soup.""}, {""text""=>""You can have {either} pasta, or soup.""}]",You can have pasta or soup.
Correlative Conjunctions,5.1e. Correlative Conjunctions,Jzw0qjLNEeZAERlRkt5,"[{""text""=>""We can {either} help you move or schedule a mover.""}, {""text""=>""We can {either} help you move, or schedule a mover.""}]",We can help you move or schedule a mover.
Correlative Conjunctions,5.1e. Correlative Conjunctions,Jzw0qjLNEeZAERlRkt6,"[{""text""=>""I can {either} help you, or go shopping.""}, {""text""=>""I can {either} help you or go shopping.""}]","I can help you, or go shopping."
Correlative Conjunctions,5.1e. Correlative Conjunctions,Jzw0qjLNEeZAERlRkt7,"[{""text""=>""Paul wants to {either} study law or travel the world.""}, {""text""=>""Paul {either} wants to study law or travel the world.""}, {""text""=>""Paul wants to {either} study law, or travel the world.""}, {""text""=>""Paul {either} wants to study law, or travel the world.""}]",Paul wants to study law or travel the world.
Correlative Conjunctions,5.1e. Correlative Conjunctions,Jzw0qjLNEeZAERlRkt9,"[{""text""=>""He {neither} builds computers nor fixes them.""}]",He builds computers nor fixes them.
Correlative Conjunctions,5.1e. Correlative Conjunctions,Jzw0qjLNEeZAERlRktA,"[{""text""=>""They {neither} help nor hurt you.""}]",They help nor hurt you.
Correlative Conjunctions,5.1e. Correlative Conjunctions,Jzw0qjLNEeZAERlRktB,"[{""text""=>""We can {neither} run nor hide.""}]",We can run nor hide.
Correlative Conjunctions,5.1e. Correlative Conjunctions,Jzw0qjLNEeZAERlRktC,"[{""text""=>""I {neither} read German nor write it.""}]",I read German nor write it.
Correlative Conjunctions,5.1e. Correlative Conjunctions,Jzw0qjLNEeZAERlRktD,"[{""text""=>""I {neither} dance nor sing.""}]",I dance nor sing.
Correlative Conjunctions,5.1e. Correlative Conjunctions,Jzw0qjLNEeZAERlRktF,"[{""text""=>""She not only loved cooking, {but also} skydiving.""}]","She not only loved cooking, and skydiving."
Correlative Conjunctions,5.1e. Correlative Conjunctions,Jzw0qjLNEeZAERlRktG,"[{""text""=>""I was not only on the track team, {but also} the swim team.""}]","I was not only on the track team, and the swim team."
Correlative Conjunctions,5.1e. Correlative Conjunctions,Jzw0qjLNEeZAERlRktH,"[{""text""=>""Greg not only speaks Spanish, {but also} French.""}]","Greg not only speaks Spanish, and French."
Correlative Conjunctions,5.1e. Correlative Conjunctions,Jzw0qjLNEeZAERlRktI,"[{""text""=>""He not only read every Harry Potter book, {but also} has every movie too.""}]","He not only read every Harry Potter book, and has every movie too."
Correlative Conjunctions,5.1e. Correlative Conjunctions,Jzw0qjLNEeZAERlRktJ,"[{""text""=>""I not only listen to music, {but also} play guitar.""}]","I not only listen to music, and play guitar."
Definite Articles,"1.1h. Use Determiners: Articles, Demonstratives",Jzw0qjLNEeZAERlRktL,"[{""text""=>""The otter I saw at {the} zoo was cute.""}]",The otter I saw at <u>an / the</u> zoo was cute.
Definite Articles,"1.1h. Use Determiners: Articles, Demonstratives",Jzw0qjLNEeZAERlRktM,"[{""text""=>""{The} picture I am holding is of my grandma.""}]",( A / The ) picture I am holding is of my grandma.
Definite Articles,"1.1h. Use Determiners: Articles, Demonstratives",Jzw0qjLNEeZAERlRktN,"[{""text""=>""Is that {the} best you've got?""}]",Is that _____ best you've got?
Definite Articles,"1.1h. Use Determiners: Articles, Demonstratives",Jzw0qjLNEeZAERlRktO,"[{""text""=>""Please pass {the} gravy.""}]",Please pass _____ gravy.
Definite Articles,"1.1h. Use Determiners: Articles, Demonstratives",Jzw0qjLNEeZAERlRktP,"[{""text""=>""Joel has his head in {the} clouds.""}]",Joel has his head in _____ clouds.
Definite Articles,"1.1h. Use Determiners: Articles, Demonstratives",Jzw0qjLNEeZAERlRktQ,"[{""text""=>""Who ate {the} last biscotti?""}]",Who ate _____ last biscotti?
Definite Articles,"1.1h. Use Determiners: Articles, Demonstratives",Jzw0qjLNEeZAERlRktR,"[{""text""=>""This shirt is {the} wrong size.""}]",This shirt is _____ wrong size.
Definite Articles,"1.1h. Use Determiners: Articles, Demonstratives",Jzw0qjLNEeZAERlRktS,"[{""text""=>""Even {the} best of friends still argue.""}]",Even ____ best of friends still argue.
Definite Articles,"1.1h. Use Determiners: Articles, Demonstratives",Jzw0qjLNEeZAERlRktT,"[{""text""=>""{The} Dodgers were the World Champions in 1955.""}]",____ Dodgers were the World Champions in 1955.
Demonstratives,"1.1h. Use Determiners: Articles, Demonstratives",Jzw0qjLNEeZAERlRktV,"[{""text""=>""{These} guys right here are my friends.""}]",______ guys right here are my friends.
Demonstratives,"1.1h. Use Determiners: Articles, Demonstratives",Jzw0qjLNEeZAERlRktW,"[{""text""=>""I think {these} logs here are enough for a fire.""}]",I think _____ logs here are enough for a fire.
Demonstratives,"1.1h. Use Determiners: Articles, Demonstratives",Jzw0qjLNEeZAERlRktX,"[{""text""=>""'\""Get {these} blankets off of me,\"" yelled my brother.'""}]","""Get ______ blankets off of me,"" yelled my brother."
Demonstratives,"1.1h. Use Determiners: Articles, Demonstratives",Jzw0qjLNEeZAERlRktY,"[{""text""=>""We can wear {these} new loafers here out the door.""}]",We can wear _____ new loafers here out the door.
Demonstratives,"1.1h. Use Determiners: Articles, Demonstratives",Jzw0qjLNEeZAERlRktZ,"[{""text""=>""{These} coins keep jingling in my pocket.""}]",_____ coins keep jingling in my pocket.
Demonstratives,"1.1h. Use Determiners: Articles, Demonstratives",Jzw0qjLNEeZAERlRkta,"[{""text""=>""We shouldn't go too close to {those} porcupines there.""}]",We shouldn't go too close to <u>these / those</u> porcupines there.
Demonstratives,"1.1h. Use Determiners: Articles, Demonstratives",Jzw0qjLNEeZAERlRktb,"[{""text""=>""{Those} apples in that tree look ripe.""}]",______ apples in that tree look ripe.
Demonstratives,"1.1h. Use Determiners: Articles, Demonstratives",Jzw0qjLNEeZAERlRktc,"[{""text""=>""Did you find {those} kiwis I asked for earlier?""}]",Did you find _____  kiwis I asked for earlier?
Demonstratives,"1.1h. Use Determiners: Articles, Demonstratives",Jzw0qjLNEeZAERlRktd,"[{""text""=>""Please place {those} documents there into a folder.""}]",Please place _____ documents there into a folder.
Demonstratives,"1.1h. Use Determiners: Articles, Demonstratives",Jzw0qjLNEeZAERlRkte,"[{""text""=>""{Those} campsites over the hill are the best ones.""}]",_____ campsites over the hill are the best ones.
Demonstratives,"1.1h. Use Determiners: Articles, Demonstratives",Jzw0qjLNEeZAERlRktf,"[{""text""=>""{Those} quizzes we took last week were really tough.""}]",_____ quizzes we took last week were really tough.
Demonstratives,"1.1h. Use Determiners: Articles, Demonstratives",Jzw0qjLNEeZAERlRktk,"[{""text""=>""{This} new computer here runs faster than that one.""}]",_____ new computer here runs faster than that one.
Demonstratives,"1.1h. Use Determiners: Articles, Demonstratives",Jzw0qjLNEeZAERlRktl,"[{""text""=>""{This} chart here is a Venn diagram.""}]",_____ chart here is a Venn diagram.
Demonstratives,"1.1h. Use Determiners: Articles, Demonstratives",Jzw0qjLNEeZAERlRktm,"[{""text""=>""{This} movie I have is a classic.""}]",_____ movie I have is a classic.
Demonstratives,"1.1h. Use Determiners: Articles, Demonstratives",Jzw0qjLNEeZAERlRktn,"[{""text""=>""{This} is my house right here.""}]",_____ is my house right here.
Demonstratives,"1.1h. Use Determiners: Articles, Demonstratives",Jzw0qjLNEeZAERlRkto,"[{""text""=>""You should read {this} book I have when I'm done with it.""}]",You should read <u>this / that</u> book I have when I'm done with it.
Demonstratives,"1.1h. Use Determiners: Articles, Demonstratives",Jzw0qjLNEeZAERlRktp,"[{""text""=>""{This} sweater I am wearing is itchy.""}]",<u>This / That</u> sweater I am wearing is itchy.
Don't,2.2c. Use an Apostrophe to Form Contractions,Jzw0qjMQEFZyAz8KNLm,"[{""text""=>""When bears hibernate, they {don't} wake up for months.""}]","When bears hibernate, they <u>do not</u> wake up for months."
Don't,2.2c. Use an Apostrophe to Form Contractions,Jzw0qjMQEFZyAz8KNLn,"[{""text""=>""They {don't} know how to pitch a tent by themselves.""}]",They <u>do not</u> know how to pitch a tent by themselves.
Don't,2.2c. Use an Apostrophe to Form Contractions,Jzw0qjMQEFZyAz8KNLo,"[{""text""=>""{Don't} yell in the library.""}]",<u>Do not</u> yell in the library.
Don't,2.2c. Use an Apostrophe to Form Contractions,Jzw0qjMQEFZyAz8KNLp,"[{""text""=>""Please {don't} dive in the shallow end of the pool.""}]",Please <u>do not</u> dive in the shallow end of the pool.
Don't,2.2c. Use an Apostrophe to Form Contractions,Jzw0qjMQEFZyAz8KNLq,"[{""text""=>""I {don't} think we have a test today.""}]",I <u>do not</u> think we have a test today.
Ending Periods,M2. Using Spaces with Punctuation,Jzw0qjMQEFZyAz8KNLs,"[{""text""=>""I saw Ben {yesterday. }He was wearing a new shirt.""}]",I saw Ben yesterday.He was wearing a new shirt.
Ending Periods,M2. Using Spaces with Punctuation,K2wx225s4EjwNNGvAMU,"[{""text""=>""Stanley wanted to go to the {bank. }Luckily, the bank was close to his house.""}]","Stanley wanted to go to the bank.Luckily, the bank was close to his house."
Ending Periods,M2. Using Spaces with Punctuation,K2wxNwk2p1q24HPntDb,"[{""text""=>""The boombox is incredibly {loud. }The volume button is broken.""}]",The boombox is incredibly loud.The volume button is broken.
Ever After,4.1g. Commonly Confused Words,Jzw0qjMQEFZyAz8KNLu,"[{""text""=>""Do all fairy tales end with the phrase, \""happily {ever after}?\""""}]","Do all fairy tales end with the phrase, ""happily ________?"""
Ever After,4.1g. Commonly Confused Words,Jzw0qjMQEFZyAz8KNLv,"[{""text""=>""The customer was looking for a \""happily {ever after}\"" type of story, can you help\\n him?""}]","The customer was looking for a ""happily _________"" type of story, can you help him?"
Ever After,4.1g. Commonly Confused Words,Jzw0qjMQEFZyAz8KNLw,"[{""text""=>""'\""Billy had this crazy idea where the story should end \""happily never after\"" rather\\n than \""{ever after}\"".'""}]","""Billy had this crazy idea where the story should end ""happily never after"" rather than ""______""."
"Every Day, Everyday",4.1g. Commonly Confused Words,Jzw0qjMQEFZyAz8KNLy,"[{""text""=>""I would go rock climbing {every day} if I had time.""}]",I would go rock climbing ______ if I had time.
"Every Day, Everyday",4.1g. Commonly Confused Words,K2xP5n98XGQ1JYZLMN1,"[{""text""=>""{Every day} I make sure to have a healthy breakfast and to take a quick jog.""}]",_______ I make sure to have a healthy breakfast and to take a quick jog.
"Every Day, Everyday",4.1g. Commonly Confused Words,K2xPHpS_9rSYY-EbsAO,"[{""text""=>""After I saw my full mailbox for a few days in a row, I realized that mail was delivered {every day}.""}]","After I saw my full mailbox for a few days in a row, I realized that mail was delivered _________."
"Every Day, Everyday",4.1g. Commonly Confused Words,Jzw0qjMQEFZyAz8KNM-,"[{""text""=>""In winter, playing ice hockey on the lake was an {everyday} activity for us.""}]","In winter, playing ice hockey on the lake was an ______ activity for us."
"Every Day, Everyday",4.1g. Commonly Confused Words,Jzw0qjMQEFZyAz8KNM0,"[{""text""=>""Graduating high school isn't an {everyday} occurrence, so I think it's a reason to celebrate.""}]","Graduating high school isn't an ______ occurrence, so I think it's a reason to celebrate."
"Every Day, Everyday",4.1g. Commonly Confused Words,K2xfHZJP0zeeGzM9aBv,"[{""text""=>""Joan did not know that expensive flavors were added to {everyday} coffee at her favorite cafe.""}]",Joan did not know that expensive flavors were added to ________ coffee at her favorite cafe.
"Finally, Finely",4.1g. Commonly Confused Words,Jzw0qjMQEFZyAz8KNM2,"[{""text""=>""You are {finally} nearing the end of the race!""}]",You are _____ nearing the end of the race!
"Finally, Finely",4.1g. Commonly Confused Words,K2xK0EDDFolM_MWcBTV,"[{""text""=>""\""I can {finally} tie my shoes,\"" said the boy.""}]","""I can _______ tie my shoes,"" said the boy."
"Finally, Finely",4.1g. Commonly Confused Words,K2xK9g0whcV5BatdqbR,"[{""text""=>""After practicing for months, I was {finally} able to complete a full marathon.""}]","After practicing for months, I was _______ able to complete a full marathon."
"Finally, Finely",4.1g. Commonly Confused Words,Jzw0qjMQEFZyAz8KNM4,"[{""text""=>""Make sure the onions are {finely} chopped before putting them in the pot.""}]",Make sure the onions are _____ chopped before putting them in the pot.
"Finally, Finely",4.1g. Commonly Confused Words,Jzw0qjMQEFZyAz8KNM5,"[{""text""=>""You can see how {finely} crafted the ancient pottery was by looking at the designs.""}]",You can see how _____ crafted the ancient pottery was by looking at the designs.
"Finally, Finely",4.1g. Commonly Confused Words,K2xPn-DP6HWT0QXgXWK,"[{""text""=>""The recipe said I needed to {finely} chop the tarragon leaves.""}]",The recipe said I needed to ______ chop the tarragon leaves.
"Greece, Grease",4.1g. Commonly Confused Words,Jzw0qjMQEFZyAz8KNM7,"[{""text""=>""There was so much {grease} left on the bacon when we ate it.""}]",There was so much _____ left on the bacon when we ate it.
"Greece, Grease",4.1g. Commonly Confused Words,Jzw0qjMQEFZyAz8KNM8,"[{""text""=>""They do not use much {grease} for traditional meals prepared in {Greece}.""}]",They do not use much _____ for traditional meals prepared in _____.
"Greece, Grease",4.1g. Commonly Confused Words,K2xIGRxBXdXrbZ5jty8,"[{""text""=>""After cooking the burgers, there was a lot of {grease} in the pan.""}]","After cooking the burgers, there was a lot of _____ in the pan."
"Greece, Grease",4.1g. Commonly Confused Words,Jzw0qjMQEFZyAz8KNMA,"[{""text""=>""The waters surrounding {Greece} are so clear, you can see all the way to the bottom.""}]","The waters surrounding _____ are so clear, you can see all the way to the bottom."
"Greece, Grease",4.1g. Commonly Confused Words,K2xIXj6JC1gevRFxxgc,"[{""text""=>""I've been saving up money for the last three years to take a vacation to {Greece}.""}]",I've been saving up money for the last three years to take a vacation to _______.
"Greece, Grease",4.1g. Commonly Confused Words,K2xIj0uvET0XOvWChlA,"[{""text""=>""{Greece} has many amazing historical museums.""}]",_______ has many amazing historical museums.
Haven't,2.2c. Use an Apostrophe to Form Contractions,Jzw0qjMQEFZyAz8KNMC,"[{""text""=>""I {haven't} played lacrosse in awhile.""}]",I <u>have not</u> played lacrosse in awhile.
Haven't,2.2c. Use an Apostrophe to Form Contractions,Jzw0qjMQEFZyAz8KNMD,"[{""text""=>""We {haven't} eaten dinner yet.""}]",We <u>have not</u> eaten dinner yet.
Haven't,2.2c. Use an Apostrophe to Form Contractions,Jzw0qjMQEFZyAz8KNME,"[{""text""=>""I {haven't} ever crocheted a cap before.""}]",I <u>have not</u> ever crocheted a cap before.
Haven't,2.2c. Use an Apostrophe to Form Contractions,Jzw0qjMQEFZyAz8KNMF,"[{""text""=>""I {haven't} visited the Eiffel Tower.""}]",I <u>have not</u> visited the Eiffel Tower.
Haven't,2.2c. Use an Apostrophe to Form Contractions,Jzw0qjMQEFZyAz8KNMG,"[{""text""=>""I {haven't} tried the cheese.""}]",I <u>have not</u> tried the cheese.
Haven't,2.2c. Use an Apostrophe to Form Contractions,Jzw0qjMQEFZyAz8KNMH,"[{""text""=>""I {haven't} visited the Eiffel Tower.""}]",I <u>have not</u> visited the Eiffel Tower.
I'm,2.2c. Use an Apostrophe to Form Contractions,Jzw0qjMQEFZyAz8KNMJ,"[{""text""=>""{I'm} not sure we should be here.""}]",<u>I am</u> not sure we should be here.
I'm,2.2c. Use an Apostrophe to Form Contractions,Jzw0qjMQEFZyAz8KNMK,"[{""text""=>""{I'm} going horseback riding this weekend.""}]",<u>I am</u> going horseback riding this weekend.
I'm,2.2c. Use an Apostrophe to Form Contractions,Jzw0qjMQEFZyAz8KNML,"[{""text""=>""{I'm} really excited to go to college.""}]",<u>I am</u> really excited to go to college.
I'm,2.2c. Use an Apostrophe to Form Contractions,Jzw0qjMQEFZyAz8KNMM,"[{""text""=>""{I'm} going to visit my uncle in New York.""}]",<u>I am</u> going to visit my uncle in New York.
I've,2.2c. Use an Apostrophe to Form Contractions,Jzw0qjMQEFZyAz8KNMO,"[{""text""=>""{I've} been seeing some strange things recently.""}]",<u>I have</u> been seeing some strange things recently.
I've,2.2c. Use an Apostrophe to Form Contractions,Jzw0qjMQEFZyAz8KNMP,"[{""text""=>""{I've} never been here before.""}]",<u>I have</u> never been here before.
I've,2.2c. Use an Apostrophe to Form Contractions,Jzw0qjMQEFZyAz8KNMQ,"[{""text""=>""{I've} never been so happy to get home.""}]",<u>I have</u> never been so happy to get home.
I've,2.2c. Use an Apostrophe to Form Contractions,Jzw0qjMQEFZyAz8KNMR,"[{""text""=>""If you like marzipan, then {I've} got a treat for you.""}]","If you like marzipan, then <u>I have</u> got a treat for you."
Indefinite Articles,"1.1h. Use Determiners: Articles, Demonstratives",Jzw0qjMQEFZyAz8KNMT,"[{""text""=>""Houston, we have {a} problem.""}]","Houston, we have ____ problem."
Indefinite Articles,"1.1h. Use Determiners: Articles, Demonstratives",Jzw0qjMQEFZyAz8KNMU,"[{""text""=>""I think I hear {a} woodpecker.""}]",I think I hear <u>a / an</u> woodpecker.
Indefinite Articles,"1.1h. Use Determiners: Articles, Demonstratives",Jzw0qjMQEFZyAz8KNMV,"[{""text""=>""Houston, we have {a} problem.""}]","Houston, we have <u>a / an</u> problem."
Indefinite Articles,"1.1h. Use Determiners: Articles, Demonstratives",Jzw0qjMQEFZyAz8KNMW,"[{""text""=>""Music is {a} pastime of mine.""}]",Music is <u>a / an / the</u> pastime of mine.
Indefinite Articles,"1.1h. Use Determiners: Articles, Demonstratives",Jzw0qjMQEFZyAz8KNMX,"[{""text""=>""I can't drive {a} car yet.""}]",I can't drive ____ car yet.
Indefinite Articles,"1.1h. Use Determiners: Articles, Demonstratives",Jzw0qjMQEFZyAz8KNMY,"[{""text""=>""{A} magician doesn't reveal his tricks.""}]",____ magician doesn't reveal his tricks.
Indefinite Articles,"1.1h. Use Determiners: Articles, Demonstratives",Jzw0qjMQEFZyAz8KNMZ,"[{""text""=>""Yesterday, I learned how to ride {a} bike.""}]","Yesterday, I learned how to ride _____ bike."
Indefinite Articles,"1.1h. Use Determiners: Articles, Demonstratives",Jzw0qjMQEFZyAz8KNM_,"[{""text""=>""Did anybody see {a} giraffe nearby?""}]",Did anybody see ____ giraffe nearby?
Indefinite Articles,"1.1h. Use Determiners: Articles, Demonstratives",Jzw0qjMQEFZyAz8KNMa,"[{""text""=>""There is {a} lioness protecting her cubs.""}]",There is _____ lioness protecting her cubs.
Indefinite Articles,"1.1h. Use Determiners: Articles, Demonstratives",Jzw0qjMQEFZyAz8KNMb,"[{""text""=>""{A} snake slithered across the path.""}]",_____ snake slithered across the path.
Indefinite Articles,"1.1h. Use Determiners: Articles, Demonstratives",Jzw0qjMQEFZyAz8KNMc,"[{""text""=>""My friend bought me {a} top hat for graduation.""}]",My friend bought me _____ top hat for graduation.
Indefinite Articles,"1.1h. Use Determiners: Articles, Demonstratives",Jzw0qjMQEFZyAz8KNMd,"[{""text""=>""We will need {a} big turkey for the stew.""}]",We will need _____ big turkey for the stew.
Indefinite Articles,"1.1h. Use Determiners: Articles, Demonstratives",Jzw0qjMQEFZyAz8KNMe,"[{""text""=>""Jayson is kind of {a} burly guy.""}]",Jayson is kind of _____ burly guy.
